PointerMove pointermove { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
MouseMoveCapture mousemove { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 1 forward-logs-shared.ts:95:22
MouseMove mousemove { target: button, buttons: 0, clientX: 11, clientY: 19, layerX: 11, layerY: 19 } 3 forward-logs-shared.ts:95:22
PointerOutCapture pointerout { target: button, buttons: 0, clientX: 9.5, clientY: 24.5, layerX: 10, layerY: 25 } 1 forward-logs-shared.ts:95:22
PointerOut pointerout { target: button, buttons: 0, clientX: 9.5, clientY: 24.5, layerX: 10, layerY: 25 } 3 forward-logs-shared.ts:95:22
PointerLeave pointerout { target: button, buttons: 0, clientX: 9.5, clientY: 24.5, layerX: 10, layerY: 25 } 3 forward-logs-shared.ts:95:22
MouseOutCapture mouseout { target: button, buttons: 0, clientX: 10, clientY: 25, layerX: 10, layerY: 25 } 1 forward-logs-shared.ts:95:22
MouseOut mouseout { target: button, buttons: 0, clientX: 10, clientY: 25, layerX: 10, layerY: 25 } 3 forward-logs-shared.ts:95:22
MouseLeave mouseout { target: button, buttons: 0, clientX: 10, clientY: 25, layerX: 10, layerY: 25 } 3 forward-logs-shared.ts:95:22
BlurCapture focusout { target: button, isTrusted: true, view: Window, detail: 0, layerX: 0, layerY: 0, which: 0, rangeOffset: 0, SCROLL_PAGE_UP: -32768, SCROLL_PAGE_DOWN: 32768, … } 1 forward-logs-shared.ts:95:22
Blur focusout { target: button, isTrusted: true, view: Window, detail: 0, layerX: 0, layerY: 0, which: 0, rangeOffset: 0, SCROLL_PAGE_UP: -32768, SCROLL_PAGE_DOWN: 32768, … } 3
 
